시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
어린이집,암사어린이집,서울특별시 강동구 상암로4가길 28,서울특별시 강동구 암사2동 510-25,37.55061052,127.1249616,서울특별시 강동구청,강동경찰서,Y,1,6,2021-08-25,3240000,서울특별시 강동구
어린이집,암사무지개어린이집,서울특별시 강동구 고덕로20나길 55,서울특별시 강동구 암사1동 466-104,37.55371233,127.1305028,서울특별시 강동구청,강동경찰서,Y,1,6,2021-08-25,3240000,서울특별시 강동구
초등학교,신진초등학교,부산광역시 기장군 철마면 고촌로28번길 10,부산광역시 기장군 철마면 고촌리 655,35.24092086,129.1714623,부산광역시 기장군,기장경찰서,Y,4,,2021-09-29,3400000,부산광역시 기장군
유치원,신진초등학교병설유치원,부산광역시 기장군 철마면 고촌로28번길 10,부산광역시 기장군 철마면 고촌리 655,35.24092086,129.1714623,부산광역시 기장군,기장경찰서,Y,4,,2021-09-29,3400000,부산광역시 기장군
어린이집,엔젤어린이집,부산광역시 기장군 기장읍 차성서로 42,부산광역시 기장군 기장읍 대라리 160-9,35.237074,129.210457,부산광역시 기장군,기장경찰서,Y,15,,2021-09-29,3400000,부산광역시 기장군
초등학교,월내초등학교,부산광역시 기장군 장안읍 길천2길 25,부산광역시 기장군 장안읍 길천리 191-1,35.32806456,129.2824809,부산광역시 기장군,기장경찰서,Y,9,,2021-09-29,3400000,부산광역시 기장군
유치원,월내초등학교병설유치원,부산광역시 기장군 장안읍 길천2길 25,부산광역시 기장군 장안읍 길천리 191-1,35.32806456,129.2824809,부산광역시 기장군,기장경찰서,Y,9,,2021-09-29,3400000,부산광역시 기장군
초등학교,월평초등학교,부산광역시 기장군 정관읍 월평1길 21,부산광역시 기장군 정관읍 월평리 125-2,35.35969505,129.1383592,부산광역시 기장군,기장경찰서,Y,3,,2021-09-29,3400000,부산광역시 기장군
유치원,월평초등학교병설유치원,부산광역시 기장군 정관읍 월평1길 21,부산광역시 기장군 정관읍 월평리 125-2,35.35969505,129.1383592,부산광역시 기장군,기장경찰서,Y,3,,2021-09-29,3400000,부산광역시 기장군
초등학교,일광초등학교,부산광역시 기장군 일광면 해빛로 46,부산광역시 기장군 일광면 삼성리 774,35.26821044,129.2230225,부산광역시 기장군,기장경찰서,Y,2,,2021-09-29,3400000,부산광역시 기장군
유치원,일광유치원,부산광역시 기장군 일광면 해빛로 42,부산광역시 기장군 일광면 삼성리 776,35.26770528,129.2236935,부산광역시 기장군,기장경찰서,Y,2,,2021-09-29,3400000,부산광역시 기장군
어린이집,장안어린이집,부산광역시 기장군 장안읍 해맞이로167,부산광역시 기장군 장안읍 임랑리 110-3,35.317128,129.258986,부산광역시 기장군,기장경찰서,Y,7,,2021-09-29,3400000,부산광역시 기장군
초등학교,장안초등학교,부산광역시 기장군 장안읍 좌천로 13-66,부산광역시 기장군 장안읍 좌천리 115,35.31195211,129.2395584,부산광역시 기장군,기장경찰서,Y,3,,2021-09-29,3400000,부산광역시 기장군
유치원,장안초등학교병설유치원,부산광역시 기장군 장안읍 좌천로 13-66,부산광역시 기장군 장안읍 좌천리 115,35.31195211,129.2395584,부산광역시 기장군,기장경찰서,Y,3,,2021-09-29,3400000,부산광역시 기장군
초등학교,용호초등학교,부산광역시 남구 용호로42번길 94,,35.12247969,129.108928,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,운산초등학교,부산광역시 남구 용호로269번길 89,,35.11020526,129.1152259,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,용산초등학교,부산광역시 남구 동명로176번길 55,,35.11653828,129.1160696,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,연포초등학교,부산광역시 남구 못골로 17,,35.13729666,129.0840869,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,문현초등학교,부산광역시 남구 고동골로 86-13,,35.14532445,129.0729385,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
유치원,용산초등학교 병설유치원,부산광역시 남구 동명로176번길 55,,35.11653828,129.1160696,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,백운초등학교,부산광역시 남구 동명로 76,,35.11830794,129.105533,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,신연초등학교,부산광역시 남구 유엔로25번길 66,,35.129293,129.077937,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,우암초등학교,부산광역시 남구 우암로 190-19,,35.12534261,129.0763806,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
유치원,우암초등학교 병설유치원,부산광역시 남구 우암로 190-19,,35.12534261,129.0763806,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,성천초등학교,부산광역시 남구 장고개로 64-41,,35.13082781,129.072206,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-12-17,3310000,부산광역시 남구
초등학교,오륙도초등학교,부산광역시 남구 오륙도로 57,,35.104279,129.1161857,부산광역시 남구청,부산광역시 남부경찰서,N,,,2021-12-17,3310000,부산광역시 남구
