,시설종류,대상시설명,행정구역,경도,위도,다발지역사고건수,다발지역KSI,스쿨존사고건수,스쿨존KSI,ARI
106,초등학교,미아초등학교,성북구,127.0216457,37.6105142,3,1,2,1,1.08
80,어린이집,구립새하늘어린이집,강서구,126.8414155,37.53330739,3,2,2,0,1.08
83,어린이집,성산어린이집,강서구,126.8114272,37.56529764,0,0,5,2,1.08
158,어린이집,다솔어린이집,성북구,127.02474850000002,37.6088152,3,1,2,1,1.08
512,유치원,매봉초병설유치원,구로구,126.844375,37.50491677,3,1,2,1,1.08
348,어린이집,행복둥지,도봉구,127.0418041,37.63975870000001,3,1,2,1,1.08
103,초등학교,길원초등학교,성북구,127.0167359,37.60906528,3,1,2,1,1.08
743,유치원,서문유치원,은평구,126.91665,37.592259999999996,3,1,2,1,1.08
777,초등학교,연은초등,은평구,126.92511200000001,37.59051113,3,1,2,1,1.08
746,초등학교,서울수송초등학교,강북구,127.0332052,37.63732397,3,1,2,1,1.08
770,초등학교,신사초등,은평구,126.91212150000001,37.592614000000005,3,1,2,1,1.08
1375,어린이집,장미,서초구,127.028411,37.484157,3,1,2,1,1.08
662,어린이집,번2동어린이집,강북구,127.0320344,37.63374918,3,1,2,1,1.08
210,어린이집,신창,도봉구,127.0413047,37.6400934,3,1,2,1,1.08
192,어린이집,길음빛어린이집,성북구,127.01947659999998,37.6104727,3,1,2,1,1.08
183,어린이집,은행나무어린이집,성북구,127.0218298,37.6091192,3,1,2,1,1.08
141,유치원,좋은소리유치원,성북구,127.0188388,37.6083303,3,1,2,1,1.08
847,어린이집,푸른신창,도봉구,127.04152179999998,37.6399528,3,1,2,1,1.08
128,유치원,나래유치원,성북구,127.0226511,37.60954002,3,1,2,1,1.08
1294,초등학교,양동초교,양천구,126.8512401949,37.525847,3,2,2,0,1.08
149,유치원,루이유치원,성북구,127.0163762,37.60713001,3,1,2,1,1.08
145,유치원,길음단설유치원,성북구,127.0166585,37.61363151,3,1,2,1,1.08
