index,행정구역,시설종류,대상시설명,위도,경도,CARI,CARI300
256,성동구,초등학교,마장초등학교,37.56802798,127.0427358,0.0,0.0
257,성동구,초등학교,경동초등학교,37.54330839,127.0503087,0.0,0.0
258,성동구,초등학교,옥정초등학교,37.54200487,127.0155614,0.0,0.0
259,성동구,초등학교,금호초등학교,37.5524153,127.0196885,0.0,0.0
260,성동구,초등학교,무학초등학교,37.5632029,127.0296455,0.0,0.0
261,성동구,유치원,송원병설유치원,37.55431774,127.0697081,0.0,0.0
262,서대문구,유치원,이대부속유치원,37.5611486,126.9427752,0.0,0.0
263,서대문구,유치원,현대홍익유치원,37.58361556,126.9422553,0.0,0.0
264,서대문구,유치원,삼성유치원,37.58158755,126.9194105,2.33,0.0
265,서대문구,유치원,세종유치원,37.57727993,126.9131028,1.16,0.23
266,서대문구,유치원,신촌유치원,37.55738361,126.931436,0.0,0.0
267,동대문구,초등학교,군자초교,37.56412385,127.0605231,0.63,0.0
268,동대문구,유치원,군자초교병설유치원,37.56412385,127.0605231,0.63,0.0
269,동대문구,초등학교,답십리초교,37.56880432,127.0554295,0.04,0.0
270,동대문구,유치원,답십리초교병설유치원,37.56880432,127.0554295,0.04,0.0
271,동대문구,초등학교,동답초교,37.57150295,127.0640336,0.63,0.0
272,동대문구,초등학교,신답초교,37.57270542,127.0429615,0.0,0.0
273,동대문구,초등학교,안평초교,37.56596984,127.0720337,0.63,0.18
274,동대문구,초등학교,장평초교,37.57399475,127.07389340000002,0.35,0.0
275,동대문구,유치원,장평초교병설유치원,37.57399475,127.07389340000002,0.35,0.0
276,동대문구,초등학교,종암초교,37.58230633,127.0318584,0.0,0.0
277,동대문구,초등학교,청량초교,37.59230922,127.055908,0.0,0.0
278,동대문구,초등학교,홍릉초교,37.59068743,127.0477047,0.0,0.0
279,동대문구,초등학교,배봉초교,37.58008059,127.0668713,0.0,0.0
280,동대문구,초등학교,전곡초교,37.58070438,127.0560126,0.0,0.0
281,동대문구,초등학교,전농초교,37.57472977,127.0543327,0.0,0.0
282,동대문구,초등학교,전동초교,37.57908644,127.06080690000002,0.0,0.0
283,동대문구,유치원,전동초교병설유치원,37.57908644,127.06080690000002,0.0,0.0
284,동대문구,초등학교,이문초교,37.60189478,127.0648841,0.39,0.0
285,동대문구,유치원,이문초교병설유치원,37.60189478,127.0648841,0.39,0.0
286,동대문구,초등학교,휘경초교,37.58576220000001,127.0582128,0.0,0.0
287,서대문구,유치원,현대경복유치원,37.58631551,126.951501,0.0,0.0
288,서대문구,유치원,홍제성당유치원,37.590144,126.9436543,0.0,0.0
289,서대문구,유치원,금화초교(병설)유치원,37.568806,126.9629404,0.0,0.0
290,서대문구,유치원,북성초교(단설)유치원,37.559433,126.951959,0.0,0.0
291,서대문구,유치원,인왕초교(병설)유치원,37.59021925,126.94480459999998,0.0,0.0
292,서대문구,유치원,홍제초교(병설)유치원,37.59350636,126.9454227,0.0,0.0
293,강남구,어린이집,대치어린이집,37.50185478,127.065542,0.6,0.0
294,강동구,어린이집,구립해나어린이집,37.55586966,127.1347874,1.06,0.04
295,강동구,어린이집,성내참사랑어린이집,37.52601922,127.1291451,0.6,0.0
296,강동구,어린이집,예은어린이집,37.5408215,127.1336179,1.54,0.23
297,강동구,어린이집,예일어린이집,37.5229326,127.1339492,0.0,0.0
298,강동구,어린이집,자연어린이집,37.5465048,127.124518,1.47,0.0
299,강동구,어린이집,반석어린이집,37.54281137,127.1473249,2.66,0.6
300,강동구,어린이집,라온어린이집,37.5431379,127.1393804,2.99,0.0
301,강동구,어린이집,그린어린이집,37.5304122,127.1268502,0.6,0.49
302,강동구,어린이집,애지어린이집,37.531761,127.1415805,1.29,0.0
303,강동구,어린이집,강동복지관어린이집,37.54004284,127.1297892,0.92,0.11
304,강동구,어린이집,올리브나무어린이집,37.5478059,127.1459154,1.77,0.4
305,강동구,어린이집,자이젠킨더어린이집,37.5377155,127.1478568,1.94,0.37
306,강동구,어린이집,강동무지개어린이집,37.54460484,127.14066409999998,3.39,0.0
307,강동구,어린이집,푸른숲어린이집,37.5488256,127.1535042,1.11,0.0
308,강동구,어린이집,예꿈어린이집,37.54793943,127.1329509,1.68,0.03
309,강동구,어린이집,동심어린이집,37.5561083,127.1373773,0.79,0.02
310,강동구,어린이집,구립은강어린이집,37.5333784,127.1363923,1.56,0.0
311,강동구,학원,근경보습학원,37.5432359,127.1273666,1.11,0.13
312,관악구,초등학교,미성초등학교,37.478339,126.912394,1.56,0.0
313,관악구,초등학교,사당초등학교,37.473838,126.973352,0.6,0.0
314,관악구,초등학교,신우초등학교,37.463265,126.932537,0.0,0.0
315,관악구,초등학교,원당초등학교,37.481214,126.956249,0.28,0.21
316,관악구,초등학교,인헌초등학교,37.476753,126.959866,0.88,0.03
317,관악구,초등학교,청룡초등학교,37.476725,126.951218,0.28,0.0
318,관악구,초등학교,삼성초등학교,37.468521,126.940495,0.0,0.0
319,관악구,초등학교,신림초등학교,37.47715,126.926876,1.63,0.0
320,관악구,초등학교,신봉초등학교,37.485576,126.949391,0.19,0.0
321,관악구,초등학교,은천초등학교,37.486585,126.942678,0.0,0.0
322,관악구,초등학교,봉천초등학교,37.48327000000001,126.958188,0.28,0.1
323,관악구,초등학교,신성초등학교,37.472004,126.936752,0.0,0.0
324,관악구,초등학교,봉현초등학교,37.49124000000001,126.955588,0.02,0.0
325,관악구,초등학교,원신초등학교,37.467198,126.927241,0.36,0.0
326,관악구,초등학교,조원초등학교,37.48412800000001,126.909514,0.0,0.0
327,관악구,유치원,건영유치원,37.484844,126.914908,0.02,0.0
328,관악구,유치원,동원유치원,37.482829,126.956671,0.28,0.12
329,관악구,유치원,배꽃유치원,37.485608,126.941936,0.0,0.0
330,관악구,유치원,소슬유치원,37.489766,126.948407,0.0,0.0
331,관악구,유치원,예닮유치원,37.482238,126.922468,1.12,0.0
332,관악구,유치원,은아유치원,37.47545,126.964435,0.82,0.39
333,관악구,유치원,현대유치원,37.492717,126.958219,0.0,0.0
334,관악구,유치원,명성유치원,37.478799,126.929357,0.54,0.0
335,관악구,유치원,새소슬유치원,37.489742,126.948407,0.0,0.0
336,관악구,유치원,새싹유치원,37.47456500000001,126.972834,0.6,0.0
337,관악구,유치원,신림유치원,37.472093,126.92023799999998,1.63,0.73
338,관악구,유치원,애동유치원,37.473814,126.920254,1.63,1.41
339,관악구,유치원,종인유치원,37.479052,126.963441,0.88,0.0
340,강동구,어린이집,한양어린이집,37.5435458,127.14281470000002,3.03,0.28
341,강동구,어린이집,강일어린이집,37.56911869,127.17857990000002,0.0,0.0
342,강동구,어린이집,강동아이슐레어린이집,37.55322569,127.137505,1.41,0.13
343,강동구,어린이집,개나리어린이집,37.5521359,127.1357082,1.62,0.24
344,강동구,어린이집,곡교어린이집,37.543502200000006,127.1278081,1.2,0.19
345,강동구,어린이집,둔촌어린이집,37.5305225,127.14300559999998,1.13,0.0
346,강동구,어린이집,성심어린이집,37.53621522,127.1445702,1.94,0.8
347,강동구,어린이집,세정어린이집,37.56063437,127.1557401,0.0,0.0
348,도봉구,어린이집,행복둥지,37.63975870000001,127.0418041,1.02,0.0
349,강남구,어린이집,목련어린이집,37.494007,127.077734,0.0,0.0
350,강남구,어린이집,자람어린이집,37.491666,127.082926,0.0,0.0
351,강남구,초등학교,구룡초등학교,37.48119613,127.051773,0.01,0.0
352,강남구,초등학교,대도초등학교,37.49264543,127.0533776,1.0,0.0
353,강남구,초등학교,대모초등학교,37.48059953,127.0859937,0.0,0.0
354,강남구,초등학교,대진초등학교,37.497027,127.0780785,0.0,0.0
355,강남구,초등학교,수서초등학교,37.49115058,127.101549,0.0,0.0
356,강남구,초등학교,압구정초등학교,37.53173902,127.0308413,0.0,0.0
357,강남구,초등학교,언주초등학교,37.48632308,127.036781,2.21,1.39
358,강남구,초등학교,역삼초등학교,37.49316115,127.032603,2.01,0.0
359,강남구,초등학교,왕북초등학교,37.4863299,127.086039,0.0,0.0
360,강남구,초등학교,대청초등학교,37.493117,127.0877676,0.0,0.0
361,강남구,초등학교,대치초등학교,37.49127879,127.0621966,0.4,0.24
